id,category,subcategory,title,subtitle,layout,imageFile,imagePrompt,prefs,timeOfDay,weather,season,urgency,intent,cold_reason,warm_reason,enriched_reason_e1,enriched_reason_e2,audience,cold_cta,warm_cta,enriched_cta
c001,Food,New opening,Grab a counter seat at Naru Noodle Bar,Bengaluru's 14-seat ramen icon — bookings open Wednesday noon and vanish in minutes. Set a reminder.,content,content/images/c001.jpg,"A cosy intimate Tokyo-style ramen counter in Indiranagar Bangalore, steam rising from a vivid bowl of ramen, warm pendant lights, chef plating Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|nightlife,evening|night,any,any,timely,book,Bangalore's ramen scene is tiny and obsessive — this 14-seater is the one people queue for.,"You linger on Bangalore food finds with a story; this is the kind of small, considered dinner worth planning a week around.","A small, design-led counter is the dinner format you tend to prefer — quiet, exact, worth a Wednesday calendar reminder.",The food obsession your friends will queue for before it trends — fits a ₹600 weeknight plan with two friends who care about the bowl.,,Want to discover more new openings?,Want more new openings like this?,Want me to line up more new openings for you?
c002,Food,Recipe,Cook a one-pot bisi bele bath tonight,"35 minutes, pantry staples, a bowl of comfort that tastes like home.",content,content/images/c002.jpg,"A steaming vivid bowl of bisi bele bath garnished with ghee and boondi on a bright wooden table, fresh ingredients around Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|cooking,evening,rainy|any,any,evergreen,learn,"Rainy Bangalore evenings call for the city's own comfort food — bisi bele bath, the dish that built the kitchen.",You return to slow food stories and South Indian cooking; one-pot bisi bele is the pantry version of that mood.,A vegetarian one-pot built around Karnataka pantry staples — the kind of considered weeknight cooking you actually do.,Pantry-staple cooking that tastes better than your Swiggy default and costs ₹150 — the weeknight win worth saving the recipe for.,,Want to discover more recipes?,Want more recipes like this?,Want me to line up more recipes for you?
c003,Food,Street food,Eat your way down VV Puram food street,"Chaat, dosa, holige — the city's tastiest walk, done hungry.",content,content/images/c003.jpg,"A lively colourful Bangalore street food lane at golden hour, vibrant chaat and dosa stalls, glowing lights, happy crowd Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|nightlife,evening|night,clear|any,any,evergreen,inspire,VV Puram after dark is a Bangalore rite of passage — best done hungry.,"You opened the local market story and tend to return to street-food walks — VV Puram is the loud, eaten-on-foot version of that interest.","A walking food crawl through Old Bangalore — heritage on a paper plate, the kind of evening that grounds your polished week.","Eight stops, ₹400 total, and a story for your grid — a food walk that pays for itself in photos and chaat.",,Want to discover more street-food finds?,Want more street-food finds like this?,Want me to line up more street-food finds for you?
c004,Food,Fine dining,Book the monsoon tasting menu at Farmlore,"A farm-to-table chef's table on the city's edge — eight seasonal courses, one sitting a night. Reserve a week ahead.",content,content/images/c004.jpg,"An elegant fine-dining plate being plated by a chef, artful colourful presentation, warm bright restaurant, premium Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|fine,evening|night,any,any,timely,book,Eight-course tasting menus are rare in the city — Farmlore's farm-to-table sitting is the one to plan a week ahead.,You return to dinners with a chef's signature behind them; an eight-course farm-to-table sitting is exactly that level of plan.,Fine dining is your default — a seasonal tasting menu is exactly the evening you book.,"Splurge-level dining for an anniversary or a portfolio win — one sitting a night, the dinner you save up for.",,Want to discover more fine-dining tables?,Want more fine-dining tables like this?,Want me to line up more fine-dining tables for you?
c005,Food,Café,Pull up at Third Wave Coffee's roastery bar,Single-origin pour-overs from their Indiranagar roastery — ask the barista for this week's small-batch.,content,content/images/c005.jpg,"A bright specialty coffee café in Bangalore, latte art on a wooden table, sunlit, plants, third-wave aesthetic, vivid Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|cafes|calm,morning,any,any,evergreen,inspire,Filter coffee is Bangalore's religion; these new roasters are quietly rewriting it.,"You spend more time with food finds than chain café content; the Third Wave roastery bar is the named, specific version of that interest.",A single-origin pour-over from a city roaster — the morning ritual upgrade that suits your refined palate.,₹180 for a pour-over and a Saturday morning that photographs better than any chain — exactly the indie café energy you go for.,,Want to discover more cafés?,Want more cafés like this?,Want me to line up more cafés for you?
c006,Food,Breakfast,Beat the queue at CTR for benne masala dosa,"Malleshwaram's 100-year-old institution — crisp, butter-laden, gone by 9am. Go early, pay cash.",content,content/images/c006.jpg,"A vibrant golden masala dosa with chutney and sambar on a banana leaf, bright South Indian tiffin setting, steam Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|cafes,morning,any,any,evergreen,inspire,Malleshwaram's 100-year-old dosa institution is gone by 9am — the city's most historic breakfast is also its most honest.,"You linger on Bangalore breakfast classics; CTR is the heritage version of that pattern, butter-laden and queue-worthy.",A 100-year-old breakfast institution — the kind of vegetarian classic worth your early alarm and a cash payment.,"₹80 for the city's most photographed dosa, eaten before the queue forms — your heritage food run worth setting an alarm for.",,Want to discover more breakfast spots?,Want more breakfast spots like this?,Want me to line up more breakfast spots for you?
c007,Food,Heritage,Book a coastal feast at Karavalli,"Karnataka's seafood heritage — your weekend, lived in the city.",content,content/images/c007.jpg,"A colourful coastal Karnataka thali on a banana leaf in an elegant bright open-air restaurant, rich vivid dishes Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|heritage,afternoon|evening,any,any,evergreen,book,Karavalli is Karnataka's coastal kitchen brought into the city — the lunch that traces a thali back to its sea.,"You return to heritage Bangalore dining over the loud chains; Karavalli is the regional, considered version of that interest.","Coastal Karnataka cooking with provenance — a fine, vegetarian-friendly lunch that earns its place in your calendar.","Heritage dining when your parents visit — the one place where filter coffee, appams and a slow lunch all make sense together.",,Want to discover more heritage tables?,Want more heritage tables like this?,Want me to line up more heritage tables for you?
c008,Food,Bakery,Start the morning at Glen's Bakehouse,"Sourdough, cardamom buns and proper cakes — the Lavelle Road counter sells out of croissants by 10.",content,content/images/c008.jpg,"A bright artisanal bakery counter with golden sourdough and pastries, warm morning light, vivid and inviting Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|cafes|calm,morning,any,any,evergreen,inspire,The city's small-batch bakeries sell out by 10am — worth the early alarm.,You return to specific Bangalore breakfast spots over chain café content; Glen's is the bakery version of that habit.,A proper European-style bakery with sourdough discipline — your considered morning stop on a slow Saturday.,"₹250 for a sourdough morning that earns its photo — a bakery counter with a story, before your Lavelle Road crowd arrives.",,Want to discover more bakeries?,Want more bakeries like this?,Want me to line up more bakeries for you?
c009,Food,Cooking,Master knife skills in one class,An hour that makes every dinner after it faster and calmer.,content,content/images/c009.jpg,"A bright modern cooking class, hands chopping colourful vegetables on a wooden board, fresh produce, airy kitchen Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|cooking|make,evening,any,any,evergreen,learn,An hour of proper knife skills makes every dinner faster and calmer — the most underrated cooking class in the city.,"You return to cooking content with craft behind it; a one-hour knife class is the focused, useful version of that interest.",A proper knife class — the foundational hour that sharpens every dinner you cook in your vegetarian kitchen.,"An hour that makes every chopping board feel less chaotic — small upskill, big payoff for the dinners you actually host.",,Want to discover more cooking classes?,Want more cooking classes like this?,Want me to line up more cooking classes for you?
c010,Food,Drinks,Spend an evening over natural wine at Soka,"A low-intervention wine bar in Sadashivanagar — small plates, candlelight, ask for the by-the-glass flight.",content,content/images/c010.jpg,"A stylish bright wine bar in Bangalore, glasses of vivid natural wine on a marble counter, warm glow, elegant Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|nightlife,evening|night,any,any,timely,book,Natural wine is having its Bangalore moment — Soka's candlelit bar is where the city's quietly drinking it.,"You return to specific Bangalore evenings over the loud-bar scene; Soka is the candlelit, low-pretension version of that mood.","Low-intervention wine and small plates in a candlelit room — your considered evening out, not the noisy one.",A by-the-glass natural-wine flight that doesn't blow the budget — the kind of night out you'd actually post about.,,Want to discover more drinks spots?,Want more drinks spots like this?,Want me to line up more drinks spots for you?
