id,category,subcategory,title,subtitle,layout,imageFile,imagePrompt,prefs,timeOfDay,weather,season,urgency,intent,cold_reason,warm_reason,enriched_reason,audience,cold_cta,warm_cta,enriched_cta
c001,Food,New opening,Grab a counter seat at Naru Noodle Bar,Bengaluru's 14-seat ramen icon — bookings open Wednesday noon and vanish in minutes. Set a reminder.,content,content/images/c001.jpg,"A cosy intimate Tokyo-style ramen counter in Indiranagar Bangalore, steam rising from a vivid bowl of ramen, warm pendant lights, chef plating Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|nightlife,evening|night,any,any,timely,book,Bangalore's ramen scene is tiny and obsessive — this 14-seater is the one people queue for.,"Worth a look on a night out — naru noodle bar, somewhere the city's crowd rates.","A considered, design-led plate — your kind of dining.",,Want to discover more new openings?,Want more new openings like this?,Want me to line up more new openings for you?
c002,Food,Recipe,Cook a one-pot bisi bele bath tonight,"35 minutes, pantry staples, a bowl of comfort that tastes like home.",content,content/images/c002.jpg,"A steaming vivid bowl of bisi bele bath garnished with ghee and boondi on a bright wooden table, fresh ingredients around Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|cooking,evening,rainy|any,any,evergreen,learn,A Bangalore favourite worth a look — a one-pot bisi bele bath.,"Worth a look on a night out — a one-pot bisi bele bath, somewhere the city's crowd rates.","A considered, design-led plate — your kind of dining.",,Want to discover more recipes?,Want more recipes like this?,Want me to line up more recipes for you?
c003,Food,Street food,Eat your way down VV Puram food street,"Chaat, dosa, holige — the city's tastiest walk, done hungry.",content,content/images/c003.jpg,"A lively colourful Bangalore street food lane at golden hour, vibrant chaat and dosa stalls, glowing lights, happy crowd Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|nightlife,evening|night,clear|any,any,evergreen,inspire,VV Puram after dark is a Bangalore rite of passage — best done hungry.,"Worth a look on a night out — the vv puram food street, somewhere the city's crowd rates.","A considered, design-led plate — your kind of dining.",,Want to discover more street-food finds?,Want more street-food finds like this?,Want me to line up more street-food finds for you?
c004,Food,Fine dining,Book the monsoon tasting menu at Farmlore,"A farm-to-table chef's table on the city's edge — eight seasonal courses, one sitting a night. Reserve a week ahead.",content,content/images/c004.jpg,"An elegant fine-dining plate being plated by a chef, artful colourful presentation, warm bright restaurant, premium Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|fine,evening|night,any,any,timely,book,Eight-course tasting menus are rare in the city — this monsoon edition is the one to book.,"Worth a look on a night out — a seasonal tasting menu, somewhere the city's crowd rates.",Fine dining is your default — a seasonal tasting menu is exactly the evening you book.,,Want to discover more fine-dining tables?,Want more fine-dining tables like this?,Want me to line up more fine-dining tables for you?
c005,Food,Café,Pull up at Third Wave Coffee's roastery bar,Single-origin pour-overs from their Indiranagar roastery — ask the barista for this week's small-batch.,content,content/images/c005.jpg,"A bright specialty coffee café in Bangalore, latte art on a wooden table, sunlit, plants, third-wave aesthetic, vivid Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|cafes|calm,morning,any,any,evergreen,inspire,Filter coffee is Bangalore's religion; these new roasters are quietly rewriting it.,A wood-accent café with fast wifi — the room you actually focus in.,"An upscale café morning — the refined, sunlit brunch you favour.",,Want to discover more cafés?,Want more cafés like this?,Want me to line up more cafés for you?
c006,Food,Breakfast,Beat the queue at CTR for benne masala dosa,"Malleshwaram's 100-year-old institution — crisp, butter-laden, gone by 9am. Go early, pay cash.",content,content/images/c006.jpg,"A vibrant golden masala dosa with chutney and sambar on a banana leaf, bright South Indian tiffin setting, steam Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|cafes,morning,any,any,evergreen,inspire,A Bangalore favourite worth a look — the dosa spot worth the queue.,"Worth a look on a night out — the dosa spot worth the queue, somewhere the city's crowd rates.","A considered, design-led plate — your kind of dining.",,Want to discover more breakfast spots?,Want more breakfast spots like this?,Want me to line up more breakfast spots for you?
c007,Food,Heritage,Book a coastal feast at Karavalli,"Karnataka's seafood heritage — your weekend, lived in the city.",content,content/images/c007.jpg,"A colourful coastal Karnataka thali on a banana leaf in an elegant bright open-air restaurant, rich vivid dishes Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|heritage,afternoon|evening,any,any,evergreen,book,A Bangalore favourite worth a look — lunch at karavalli.,"Worth a look on a night out — lunch at karavalli, somewhere the city's crowd rates.","A considered, design-led plate — your kind of dining.",,Want to discover more heritage tables?,Want more heritage tables like this?,Want me to line up more heritage tables for you?
c008,Food,Bakery,Start the morning at Glen's Bakehouse,"Sourdough, cardamom buns and proper cakes — the Lavelle Road counter sells out of croissants by 10.",content,content/images/c008.jpg,"A bright artisanal bakery counter with golden sourdough and pastries, warm morning light, vivid and inviting Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|cafes|calm,morning,any,any,evergreen,inspire,The city's small-batch bakeries sell out by 10am — worth the early alarm.,"Worth a look on a night out — a fresh-bake morning, somewhere the city's crowd rates.","A considered, design-led plate — your kind of dining.",,Want to discover more bakeries?,Want more bakeries like this?,Want me to line up more bakeries for you?
c009,Food,Cooking,Master knife skills in one class,An hour that makes every dinner after it faster and calmer.,content,content/images/c009.jpg,"A bright modern cooking class, hands chopping colourful vegetables on a wooden board, fresh produce, airy kitchen Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|cooking|make,evening,any,any,evergreen,learn,"A Bangalore favourite worth a look — knife skills, in an hour.","Worth a look on a night out — knife skills, in an hour, somewhere the city's crowd rates.","A considered, design-led plate — your kind of dining.",,Want to discover more cooking classes?,Want more cooking classes like this?,Want me to line up more cooking classes for you?
c010,Food,Drinks,Spend an evening over natural wine at Soka,"A low-intervention wine bar in Sadashivanagar — small plates, candlelight, ask for the by-the-glass flight.",content,content/images/c010.jpg,"A stylish bright wine bar in Bangalore, glasses of vivid natural wine on a marble counter, warm glow, elegant Bright, vibrant, high-resolution editorial photograph, vivid natural colour, well-lit and airy, subject in sharp focus, full-frame 16:9, no black bars, no text.",food|nightlife,evening|night,any,any,timely,book,A Bangalore favourite worth a look — a natural-wine evening.,"Worth a look on a night out — a natural-wine evening, somewhere the city's crowd rates.","A considered, design-led plate — your kind of dining.",,Want to discover more drinks spots?,Want more drinks spots like this?,Want me to line up more drinks spots for you?
