id,category,subcategory,market,agent_line,headline,cta_label,intent,imageFile,imagePrompt,reasoning,prefs,rich,l1_panel_blurb,l1_followup_question,l1_followup_options
l0_001,wellness,sleep,ANY,The city never really slows — a proper wind-down routine is the fix.,Wind down with a proper routine,Want tips to ease into this?,plan,l0_001_wellness_sleep.jpg,"Full-screen cinematic bedroom at golden-hour dusk, warm low side light from a large window on the right. Right and center of frame: a neatly made bed with cream linen and a rust knit throw, a glowing bedside lamp, leafy potted plants, a sunset view through the window. Left third and lower-left: a softly shadowed wall and floor in warm gentle gloom, uncluttered. Palette: warm amber, cream, rust, sage green, dusk gold. Calm restful evening atmosphere, soft realistic shadows.",Glance sees you're up late often — this nudges toward a calmer evening.,wellness|sleep|calm|home,cat:wellness|vibe:calm|aspiration:routine,"A short, calming wind-down sequence — light stretches, lower lights, a no-screens window.",What would help you wind down?,Evening stretches|Calmer lighting|Less screen time|Surprise me
l0_002,travel,hills,IN,A weekend in the hills is closer than you think.,Escape to the misty hills,Want a closer look?,travel,l0_002_travel_hills.jpg,"Full-screen cinematic Western Ghats hill homestay at misty dawn, soft cool light with a warm sunrise edge. Right and center: a wooden homestay deck with two cane chairs and steaming cups, overlooking layered green tea-and-pine slopes wrapped in silver fog, blue ranges beyond. Left third and lower-left: soft fog and a darker shaded foreground, uncluttered. Palette: deep emerald, silver mist, warm amber, slate blue, soft gold. Serene aspirational travel atmosphere.","You've lingered on calm, nature escapes — here's a hill weekend.",travel|hills|calm|nature,cat:travel|region:hills|vibe:calm,"Quiet hill homestays a short drive away, with misty mornings and slow afternoons.",What kind of escape fits you?,Misty hills|Quiet homestay|Nature trails|Surprise me
l0_003,food,street,IN,Tonight's craving has a clear answer.,Chase the city's best street food,Want to explore?,food,l0_003_food_street.jpg,"Full-screen cinematic Indian street-food lane at early evening, warm bulb light, gentle steam, medium contrast. Right and center: a glowing food stall with a sizzling griddle of golden snacks, brass vessels, jewel-toned chutney bowls, soft crowd movement and warm-blurred lane lights behind. Left third and lower-left: a darker calm stretch of the lane, uncluttered. Palette: fried amber, chutney red and green, brass gold, dusk orange. Appetizing lively atmosphere, clean food handling.",Your evenings lean social and local — street food fits the mood.,food|street|nightlife|local,cat:food|vibe:lively|region:city,"Bustling food lanes and stalls nearby, picked for flavour and buzz.",What are you in the mood for?,Street snacks|Something sweet|A lively lane|Surprise me
l0_004,home,cozy,ANY,Your space could feel a little more like you.,Make a corner you love coming home to,Want ideas?,plan,l0_004_home_cozy.jpg,"Full-screen cinematic cozy living-room reading corner at warm afternoon, soft window light, low contrast. Right and center: a cushioned armchair with a chunky knit throw, a brass floor lamp, a small table with a steaming mug and a stack of books, a trailing plant. Left third and lower-left: a softly lit warm wall and floor, uncluttered. Palette: warm cream, mustard, sage, honey wood, soft white. Inviting tactile homely atmosphere.",You return to home and living cards — here's a cozy refresh.,home|cozy|decor|calm,cat:home|aesthetic:cozy|vibe:calm,"Small, warm ways to restyle a corner — lighting, textures, a reading nook.",Which corner first?,A reading nook|Warmer lighting|Cozy textures|Surprise me
l0_005,sport,cricket,IN,There's a match worth clearing your evening for.,Catch the big game tonight,Want the details?,plan,l0_005_sport_cricket.jpg,"Full-screen cinematic cricket stadium under floodlights at night, crisp white floodlight with warm crowd glow, high contrast. Right and center: a vivid emerald pitch glowing under towering floodlights, tiered stands shimmering with a sea of warm crowd lights. Left third and lower-left: darker night sky and shadowed stand, uncluttered. Palette: vivid emerald, floodlight white, warm amber, deep night blue. Electric live-match atmosphere.",You follow the game — here's tonight's fixture and how to watch.,sport|cricket|live|social,cat:sport|vibe:lively,"Tonight's match, start time, and the best ways to catch it at home.",How do you like to watch?,Live and loud|With friends|Just highlights|Surprise me
l0_006,culture,festival,IN,The season's about to light up.,Make the most of the festive days,Want to plan?,plan,l0_006_culture_festival.jpg,"Full-screen cinematic Indian festival-of-lights home exterior at night, warm flame light, medium-low contrast. Right and center: a doorway and facade lined with glowing oil lamps and warm string lights, a vivid rangoli, marigold garlands, soft golden bokeh down the street. Left third and lower-left: a darker calm stretch of wall and step, uncluttered. Palette: marigold, saffron, warm gold, rose, deep night blue. Intimate glowing celebration atmosphere, no close-up worship.",Festivals and culture matter to you — here's a gentle planner.,culture|festival|home|social,cat:culture|vibe:festive,"Ways to mark the season — decor, gatherings, sweets, a calm evening at home.",How are you marking it?,At home|Out celebrating|Festive cooking|Surprise me
l0_007,food,cafe,US,Slow mornings deserve a good cup.,Find your next favorite café,Want to explore?,food,l0_007_food_cafe.jpg,"Full-screen cinematic cozy US coffee shop at warm morning, soft window daylight, low contrast. Right and center: a warm oak table with a ceramic latte and a pastry, a soft armchair, trailing plants, a sunlit window with street greenery. Left third and lower-left: a softly shadowed wood interior, uncluttered. Palette: honey oak, cream, latte caramel, leaf green, soft white. Slow inviting café atmosphere.",You lean into food and slow mornings — here's a café find.,food|cafe|coffee|calm,cat:food|vibe:calm|aesthetic:cozy,"Cafés nearby with good coffee and a slow, work-friendly corner.",What's the vibe you want?,Quiet and slow|Great coffee|Work-friendly|Surprise me
l0_008,travel,roadtrip,US,The open road is calling for the weekend.,Take the scenic drive,Want a closer look?,travel,l0_008_travel_roadtrip.jpg,"Full-screen cinematic US coastal highway at golden hour, warm low light, sparkling water highlights. Right and center: a winding cliffside road with a small car, a glittering blue-green ocean meeting a peach sky, wind-bent coastal grass. Left third and lower-left: a darker shaded cliff foreground, uncluttered. Palette: ocean teal, cliff sage, warm gold, soft peach. Open scenic free-drive atmosphere.",You've shown interest in travel and the outdoors — here's a drive.,travel|roadtrip|scenic|outdoor,cat:travel|region:road|vibe:active,"Scenic routes for a day or weekend, with stops worth pulling over for.",What's your kind of drive?,Scenic and slow|Coastal route|Mountain pass|Surprise me
l0_009,tech,gadgets,ANY,A small upgrade can change your whole setup.,Refine your everyday setup,Want ideas?,plan,l0_009_tech_gadgets.jpg,"Full-screen cinematic premium desk setup at warm side light, medium contrast. Right and center: a refined wooden desk with a matte keyboard, headphones, a compact device with brushed-metal detail, a small plant, soft warm task light. Left third and lower-left: a darker clean wall, uncluttered. Palette: warm grey, honey wood, matte black, brass, cream. Sleek practical premium atmosphere.",You're into tech and gadgets — here's a tasteful setup refresh.,tech|gadgets|home|design,cat:tech|aspiration:upgrade,Well-designed everyday gear and small upgrades that earn their place.,What would you upgrade first?,Everyday carry|Desk setup|Audio|Surprise me
l0_010,wellness,fitness,ANY,A reset doesn't have to be a grind.,Move in a way that feels good,Want tips?,plan,l0_010_wellness_fitness.jpg,"Full-screen cinematic outdoor trail at soft morning light, warm dappled sun, low contrast. Right and center: an open green trail winding through tall trees with sunray shafts, fresh and bright, one distant figure for scale. Left third and lower-left: a darker shaded path foreground, uncluttered. Palette: fresh green, warm gold, sage, pale blue. Active fresh-air recharge atmosphere.",You return to wellness cards — here's an easy way to move.,wellness|fitness|outdoor|active,cat:wellness|vibe:active,"Gentle ways to move and reset — outdoor walks, easy routines, no grind.",How do you like to recharge?,Move easy|Outdoors|Push a little|Surprise me
